Time,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,itbit,kraken,others,therocktrading
2017-12-25 12:00:00 UTC,14054.2914798475,14457.0639408328,16029.4628303965,14621.0034109518,14650.0829693888,14504.7808701473,14484.9155172414,14335.0731183432,14053.656767005199,
2017-12-25 13:00:00 UTC,13878.4365463033,14182.7386626561,15812.770086546,14416.5533653849,14573.7091693998,14292.438085308,14235.3695604396,14251.5624329159,14025.4014046185,
2017-12-25 14:00:00 UTC,13352.1354852461,13712.4747388414,15668.0476799242,14013.4021522972,14200.0737416227,13863.0216603054,13883.0854401154,13758.1394762367,13578.136142558451,13945.0
2017-12-25 15:00:00 UTC,13433.2711895694,13737.8414235294,15796.7437707391,14127.8077899015,14311.9290757579,13955.2652840397,13921.5526229508,13744.2159420289,13538.3341701514,
2017-12-25 16:00:00 UTC,13652.0822761785,13969.7145853194,15899.2663649635,14297.9625241262,14339.7753559716,14155.3076767678,14102.993030303,13959.9879284649,13720.6580485339,
2017-12-25 17:00:00 UTC,13547.0994208577,13820.5093274205,15758.8023800738,14180.871768791,14293.3483986431,14015.4022930649,13940.7612658228,13802.0992503748,13606.65204868595,
2017-12-25 18:00:00 UTC,13786.5564270555,14089.9830190931,15890.7602772277,14307.9913181817,14381.9349646839,14207.5545710544,14212.0435714286,14006.7243523316,13750.12864147715,14190.0
2017-12-25 19:00:00 UTC,13805.7508665203,14078.3106849315,15833.4340375587,14264.1368211284,14423.6652014916,14216.8876982592,14139.7483333333,14135.8484921592,13810.3270658584,
2017-12-25 20:00:00 UTC,13659.9001191469,13865.2144943148,15751.7911472603,14220.4294042551,14282.6623852095,14081.9930557336,13952.988317757,13984.4270748299,13774.1157872703,14101.0
2017-12-25 21:00:00 UTC,13523.9019186503,13727.8103573932,15680.2212655971,14082.2869274043,14193.6832851989,13937.9254113924,13815.3931395349,13729.4275675676,13604.73200872785,
2017-12-25 22:00:00 UTC,13463.0060106823,13738.7754045643,15695.8661131387,14062.7930507151,14170.0635927251,13870.480118906,13808.3187671233,13694.1925636008,13460.9385265889,
2017-12-25 23:00:00 UTC,13635.210901016,13967.5382069729,15875.7588309637,14163.8851917713,14362.4926920685,14025.4070526316,13975.4423076923,13888.6021413276,13647.8954111079,
2017-12-26 00:00:00 UTC,13771.5615097216,14062.0407472904,15859.3463302752,14233.272725724,14420.0954214903,14081.2433834587,14076.8305769231,14017.3851851852,13917.2039797046,
2017-12-26 01:00:00 UTC,13649.6160831163,13855.657411487,15765.1866568915,14206.0526966874,14303.9091963842,13963.1756196783,13953.1637735849,13877.8966850829,13822.05097541315,
2017-12-26 02:00:00 UTC,13719.7146002382,13958.866704162,15844.8426283988,14270.7907945796,14324.548879266,14064.4330510018,14026.2381333333,13964.7954579439,13726.774729864399,
2017-12-26 03:00:00 UTC,14097.7975548779,14329.4679636499,15936.7153501946,14594.6899613843,14569.9739233159,14352.8350503256,14336.2136363636,14280.4444094488,13887.2314525413,
2017-12-26 04:00:00 UTC,14593.4072217477,14840.2252507793,16252.0288121118,15091.9360876653,14839.3996903602,14975.8585233394,14899.8334146342,14836.4979575805,14496.123689759701,14990.0
2017-12-26 05:00:00 UTC,15055.7536492536,15263.5931625032,16754.9632222222,15439.6319617317,15222.724015083,15339.5598766603,15258.479924812,15222.6638194021,14894.2334985915,14990.0
2017-12-26 06:00:00 UTC,15065.0309347106,15395.723689476,16834.8125531915,15466.1089948803,15463.5971400756,15340.5391525424,15365.6886111111,15324.7888484848,15059.98081180015,
2017-12-26 07:00:00 UTC,15013.4261848602,15434.2879533139,16769.6176610505,15413.7426951565,15413.4508048402,15336.0958698727,15327.0783687943,15348.102804878,15148.14491934125,
2017-12-26 08:00:00 UTC,14984.2777397081,15289.444948361,16679.3350682056,15317.4761155622,15463.8997757654,15246.7769873817,15232.8821359223,15288.884605087,15190.90668273545,
2017-12-26 09:00:00 UTC,14962.3387394574,15127.811239903,16657.1579518072,15226.7663672204,15392.9053739152,15152.8430169492,15176.9430508475,15145.7832020998,15056.42981172015,
2017-12-26 10:00:00 UTC,15121.9097986166,15199.6953707627,16739.4755805687,15377.1105562741,15529.0712154345,15305.5541318124,15150.6419590643,15313.1981447124,15179.4552057708,
2017-12-26 11:00:00 UTC,14808.4980695876,14991.8517044673,16571.6325278396,15210.6652213958,15393.8894224337,15050.0562416108,14978.7951818182,15133.2293402778,14963.181094681899,
2017-12-26 12:00:00 UTC,14836.0357765858,15127.800518426,16647.0854882571,15286.587057172,15413.8024525776,15101.7774829932,15051.3314732143,15178.5752773376,14829.4739207769,15400.0
2017-12-26 13:00:00 UTC,15116.6815140067,15295.926894956,16791.5053547133,15381.5772994351,15668.7460799734,15331.747118928,15283.2993004115,15378.7259452411,15033.6529167671,
